"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0225","SDLONIS22P","SDLONIS22P",2022-01-01,2030-12-31,"Service Desk Leader Professional Certificate SDLPC™","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0226","UFONIS22P","UFONIS22P",2022-01-01,2030-12-31,"User Stories Foundations Certificate USFC™","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0227","ISO9001ONIS4P","ISO9001ONIS4P",2022-01-01,2030-12-31,"ISO 9001 Lead Auditor - I9001LA","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0228","FNONMX","FNONMX",2022-11-17,2022-12-31,"Clases online en vivo Psicología","ISEP LATAM"
"op_batch_0229","ISO20000IONIS4P","ISO20000IONIS4P",2022-01-01,2030-12-31,"ISO 20000 Internal Auditor","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0230","ISO20000LONIS4P","ISO20000LONIS4P",2022-01-01,2030-12-31,"ISO 20000 Lead Auditor","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0231","ISO20000FONIS4P","ISO20000FONIS4P",2022-01-01,2030-12-31,"ISO 20000 Foundation Professional Certificate","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0232","ISO22301IONIS4P","ISO22301IONIS4P",2022-01-01,2030-12-31,"ISO 22301 Internal Auditor","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0233","ISO22301LONIS4P","ISO22301LONIS4P",2022-01-01,2030-12-31,"ISO 22301 Lead Auditor","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0234","ISO22301FONIS4P","ISO22301FONIS4P",2022-01-01,2030-12-31,"ISO 22301 Foundation Professional Certificate","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0235","ISO27001LONIS4P","ISO27001LONIS4P",2022-01-01,2030-12-31,"ISO 27001 Lead Auditor","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0236","ISO27001IONIS4P","ISO27001IONIS4P",2022-01-01,2022-12-31,"ISO 27001 Internal Auditor","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0237","ISO27001CLONIS4P","ISO27001CLONIS4P",2020-01-01,2030-12-31,"ISO 27001 Certified Lead Implementer","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0238","ISO27001FONIS4P","ISO27001FONIS4P",2022-01-01,2030-12-31,"ISO 27001 Foundation","ISEP INTERNACIONAL LLC - (BRASIL)"
"op_batch_0239","PCONCO23UE","PCONCO23UE",2022-11-27,2025-12-31,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0240","PCONMX23UE","PCONMX23UE",2022-11-27,2025-12-31,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0241","PC36CO23UE","PC36CO23UE",2022-11-27,2025-12-31,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0242","PC36MX23UE","PC36MX23UE",2022-11-27,2025-12-31,"Maestría en Psicología Clínica y de la Salud","ISEP INTERNACIONAL LLC"
"op_batch_0243","MPONCO23UE","MPONCO23UE",2022-11-27,2025-12-31,"Maestría en Psicoterapia Cognitivo-Conductual.","ISEP INTERNACIONAL LLC"
"op_batch_0244","MPONMX23UE","MPONMX23UE",2022-11-27,2025-12-31,"Maestría en Psicoterapia Cognitivo-Conductual.","ISEP INTERNACIONAL LLC"
"op_batch_0245","MIONCO23UE","MIONCO23UE",2022-11-28,2025-12-31,"Máster en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0246","MIONMX23UE","MIONMX23UE",2022-11-28,2025-12-31,"Máster en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0247","MI36CO23UE","MI36CO23UE",2022-11-28,2023-12-31,"Máster en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0248","MI36MX23UE","MI36MX23UE",2022-11-28,2023-12-31,"Máster en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0249","MLONCO23UE","MLONCO23UE",2022-11-28,2023-12-31,"Maestría en Psicología Forense","ISEP INTERNACIONAL LLC"
"op_batch_0250","MLONMX23UE","MLONMX23UE",2022-11-28,2023-12-31,"Maestría en Psicología Forense","ISEP INTERNACIONAL LLC"
"op_batch_0251","POONCO23UE","POONCO23UE",2022-11-28,2023-12-31,"Especialidad en Psicooncología","ISEP INTERNACIONAL LLC"
"op_batch_0252","POONMX23UE","POONMX23UE",2022-11-28,2023-12-31,"Especialidad en Psicooncología","ISEP INTERNACIONAL LLC"
"op_batch_0253","MNONCO23UE","MNONCO23UE",2022-11-28,2023-12-31,"Maestría en Neuropsicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0254","MNONMX23UE","MNONMX23UE",2022-11-28,2023-12-31,"Maestría en Neuropsicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0255","NPONCO23UE","NPONCO23UE",2022-12-09,2023-12-31,"Especialidad en Neuropsicología Clínica","ISEP INTERNACIONAL LLC"
