"id","name","code","evaluation_type","fees_term_id/id","company_id/id","lang"
"__export__.op_course_98_d1cefef2","Graduação em Engenharia de Desenvolvimento de Software","BR-LTSW","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_99_702eb51a","Graduação em Comércio Exterior","BR-LTCE","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_100_9ef78afa","Doutorado em Educação","BR-DIE","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_101_f08cd21f","Especialização em Terapia Sexual e de Casais","BR-PGSE","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_102_3534cb46","Especialização em Psico-oncologia","BR-PGPO","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_103_afd32dc2","Especialização em Psicologia Clínica da Criança e do Adolescente","BR-PGPI","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_104_d6f6194e","Especialização em Transtorno do Espectro do Autismo","BR-PGAU","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_105_4c78ec06","Especialização em Cuidados Precoces","BR-PGAT","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_106_5bd41539","Especialização em Neuropsicologia","BR-PGNP","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_107_5fbd7730","Mestrado em Psicologia Clínica","BR-MTPS","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_114_808509db","CURSO DE PRUEBAS","TEST0011","Normal","__export__.op_fees_terms_3_c7c12456","base.main_company","es_MX"
"__export__.op_course_119_bd4da2ef","ESPECIALIDAD EN TRASTORNOS AUTISTAS","PGAU","Normal","__export__.op_fees_terms_3_c7c12456","base.main_company","es_MX"
"__export__.op_course_128_4e8efeae","Especialidad en Neuropsicología Clínica","NP","Normal","__export__.op_fees_terms_3_c7c12456","base.main_company","es_MX"
